tokenized_text,homophobia,obscene,insult,racism,misogyny,xenophobia
"['coisa', 'homem', 'fazer', 'apenas', 'mulher', 'amar']",False,False,False,False,False,False
"['vascaino', 'piar', 'kkkkm']",False,False,True,False,False,False
"['seguir', 'Página', 'shitpost', 'humor', 'negro', 'shitpostr', 'então', 'gostar', 'saieu', 'diver', 'páginar', 'bom', 'amiga', 'seguir', 'tbm']",False,True,True,True,False,False
"['começar', 'temporal', 'ir', 'viver', 'casa', 'vlh']",False,False,False,False,False,False
"['parabéns', 'ruim']",False,False,True,False,False,False
"['papo', 'reto', 'aquise', 'usar', 'pensar', 'usar', 'aqui', 'argumento', 'favor', 'aborto', 'saber', 'ideia', 'comparável', 'hitler', 'pra', 'bom', 'fácil', 'evitar', 'pessoa', 'pobre', 'geralmente', 'minoria', 'racial', 'nasçar', 'diminuir', 'índice', 'pobreza']",False,True,True,False,False,False
"['poder', 'chamar', 'então', 'poder', 'sim']",False,False,False,False,False,False
"['vez', 'Escola', 'lugar', 'bom', 'professor', 'matemática', 'torcer', 'nariz', 'resto', 'bem', 'receber', 'todo', 'mundo', 'todo', 'fazer', 'questão', 'ajudar', 'filho', 'custar', 'caro', 'gente']",False,False,False,False,False,False
"['pra', 'poder', 'tudo', 'precisar', 'mto']",False,False,False,False,False,False
"['Mano', 'tio', 'ligar', 'agr', 'quase', 'ataque', 'Kkkkkkkkkkk', 'pensar', 'fazer', 'merdar']",False,True,False,False,False,False
"['parecer', 'car', 'mor', 'suvaco', 'sair', 'rapidinho', 'pra', 'manda', 'galero', 'tomar', 'ir', 'voltar', 'pra', 'dentro', 'casa']",False,True,True,False,False,False
"['muito', 'cautela', 'pra', 'saber', 'contigo', 'todo', 'mão', 'estendir', 'coração']",False,False,False,False,False,False
"['sente', 'falta', 'menino', 'saber', 'achar', 'melhor', 'assim', 'pra', 'volta', 'tempo', 'ir', 'resolver']",False,False,False,False,False,False
"['bom', 'noite', 'pra', 'dois', 'bom', 'lateral', 'futebol', 'brasileiro']",False,False,False,False,False,False
"['porque', 'fazer', 'tempo', 'cuidar', 'ficar', 'perder', 'tempo', 'atacar', 'pessoa', 'bem', 'macho', 'passar', 'terrorista', 'sumar', 'Brasil', 'aqui', 'terra', 'gleen']",False,True,True,False,False,True
"['preciso', 'outro', 'companhia', 'pra', 'pra', 'academia', 'matheu', 'mesmo', 'coisa', 'nada']",False,False,True,False,False,False
"['olhar', 'falar']",False,False,True,False,False,False
"['pagar', 'boquete', 'Not']",False,True,True,False,False,False
"['vez', 'pessoa', 'falar', 'sobre', 'amar', 'yoongi', 'fico', 'kkkk', 'thats', 'cutir']",False,False,False,False,False,False
"['haver', 'entender', 'contar', 'fazer', 'somatór', 'dois', 'pagar', 'abrir']",False,False,False,False,False,False
"['foda', 'humano', 'síndrome', 'seguir', 'coisa', 'seguir', 'invés', 'fazer', 'reflexão', 'real', 'sobre', 'elasmundão', 'osso']",False,True,False,False,False,False
"['amigo', 'alguém', 'pelamorder', 'Deus', 'chamar', 'prum', 'rolê', 'hoje', 'querer', 'beber', 'dançar', 'curtir', 'bocar', 'noite', 'hoje', 'minhajudir']",False,False,False,False,False,False
"['ate', 'seguir', 'babar', 'matriz', 'perder', 'nada']",False,False,False,False,False,False
"['ver', 'ir', 'chorar', 'igual', 'criancinhar']",False,False,False,False,False,False
"['puts', 'querer', 'barão', 'agora']",False,False,False,False,False,False
"['criar', 'ir', 'piar', 'casa', 'ver', 'vingador']",False,False,False,False,False,False
"['salgar', 'tirar', 'sal', 'ficar']",False,False,True,False,False,False
"['bem', 'ainda', 'faltar', 'ano', 'pra', 'acabar', 'esperança']",False,False,False,False,False,False
"['sensação', 'vez', 'vir', 'em esse', 'vida', 'pra', 'fuder']",False,True,False,False,False,False
"['aliás', 'ainda', 'almoçar']",False,False,False,False,False,False
"['ir', 'resolver', 'certeza']",False,False,False,False,False,False
"['estudar', 'pra', 'ganhar', 'vida', 'Anitta']",False,False,False,False,False,False
"['dourar', 'kkkkk']",False,False,False,False,False,False
"['bocar', 'fazer', 'pra', 'falar']",False,False,True,False,False,False
"['nome', 'suspeito', 'invadir', 'celular', 'ministro', 'sérgio', 'Moro', 'divulgar', 'amanhã', 'meio', 'dia', 'quatro', 'preso', 'homem', 'mulher', 'ser', 'levar', 'brasília', 'onde', 'prestar', 'depoimento', 'ainda', 'hoje', 'aqui']",False,False,False,False,False,False
"['mar', 'algo', 'relacionar', 'turismo', 'aqui', 'fortaleza', 'pra', 'lysandra', 'perguntar']",False,False,False,False,False,False
"['saudade', 'ladr', 'ficar', 'deus', 'pitbull', 'raça']",False,False,False,False,False,False
"['viva', 'medo', 'medo', 'desafio', 'medo', 'enfrentar', 'parecer', 'impossível']",False,False,False,False,False,False
"['idiota', 'mano', 'kkkkkkk', 'obrigar', 'Deus', 'sinal', 'agora', 'aprer']",False,False,False,False,False,False
"['acontecer', 'demais']",False,False,False,False,False,False
"['ouráiti', 'assim', 'querer', 'outro', 'pgr']",False,False,False,False,False,False
"['tanto', 'opção', 'role', 'hoje', 'saber', 'pra', 'onde', 'ir', 'final', 'ir', 'acabar', 'ir', 'pra', 'nenhum']",False,False,False,False,False,False
"['preparar', 'psicologicamente', 'msg', 'arthur', 'dizer', 'morgar', 'role']",False,False,True,False,False,False
"['gente', 'colocar', 'quadradinho', 'nome', 'pra', 'ler', 'nada', 'poxar']",False,False,False,False,False,False
"['melanie', 'lançar', 'primeiro', 'clipe', 'dollhousir', 'video', 'gravar', 'arrecadação', 'fundo', 'ajudar', 'fã', 'acompanhar', 'ano', 'anunciar', 'haver', 'assinar', 'atlantic', 'record', 'logo', 'lançar', 'primeiro']",False,False,False,False,False,False
"['notícia', 'português', 'acabar', 'passar', 'canal', 'português', 'manifesto', 'congresso', 'impedir', 'visita', 'presidente', 'jair', 'bolsonaro', 'próximo', 'ano', 'sob', 'pretexto', 'bem', 'vir', 'tentar', 'gravar', 'ficar', 'metade']",False,False,False,False,False,False
"['alguém', 'mentir']",False,False,False,False,False,False
"['mulher', 'amei', 'conhecer', 'linda', 'fascinante', 'lar', 'momento', 'único', 'inesquecível']",False,False,False,False,False,False
"['pegar', 'fogoooo']",False,False,False,False,False,False
"['tem', 'provar', 'documento']",False,False,False,False,False,False
"['bom', 'ir', 'sair', 'casa', 'agora', 'ontem', 'dia', 'perder', 'perdi', 'muito', 'coisa', 'uahuashaushausa', 'celular', 'entón', 'ir', 'trampar', 'mês', 'iniciar', 'bom', 'mês', 'ano']",False,False,False,False,False,False
"['amigo', 'bem', 'agr', 'querer', 'controlar', 'dever', 'ficar', 'dever', 'fazer', 'vtnc']",False,True,True,False,False,False
"['deixar', 'fumar', 'narguine', 'respeitar']",False,False,False,False,False,False
"['mano', 'querer', 'ter', 'férias']",False,False,False,False,False,False
"['operação', 'lava', 'jato', 'fazer', 'operação', 'proteger', 'operação', 'lava', 'jato']",False,False,False,False,False,False
"['ainda', 'indignar', 'show', 'graça', 'ir', 'poder']",False,False,False,False,False,False
"['toda', 'vez', 'perseguir', 'alguém', 'bolsonaro', 'criar', 'potencial', 'nome', 'congressista', 'próximo', 'legislatura']",False,False,False,False,False,False
"['aqui', 'casa', 'amiga', 'Kakak']",False,False,False,False,False,False
"['muito', 'saudade', 'ir', 'tomar']",False,True,False,False,False,False
"['querer', 'chegar', 'angra', 'logo']",False,False,False,False,False,False
"['corinthian', 'palmeira', 'brasileiro', 'desde', 'vitória', 'vitória', 'palmeir', 'último', 'jogo', 'geral', 'vitória', 'corinthians', 'vitória', 'palmeir', 'fábio', 'carille', 'contra', 'palmeira', 'jogo', 'vitória', 'derrota']",False,False,False,False,False,False
"['coisa', 'nunca', 'dar', 'certo', 'pra', 'eu', 'ficar', 'calar', 'contar', 'pra', 'ninguém', 'achar', 'massar', 'capacidade', 'lixo', 'estragar', 'coisa']",False,False,False,False,False,False
"['racquel', 'zika', 'kkkkkkk', 'racquel', 'trabalho', 'fazer', 'algum', 'marcela', 'foto', 'saber', 'pra', 'fazer', 'racquel', 'ir', 'começar', 'bimestre', 'bemkkkkkkkkkkkkkk', 'ir', 'dar', 'ruim']",False,False,False,False,False,False
"['aceiter', 'noart', 'amizade', 'nada', 'além', 'único', 'shipper', 'poder', 'real', 'beauany', 'proibir', 'shippa', 'noart', 'ficar', 'jogar', 'hate', 'pra', 'infantilidade', 'aguentar', 'pai']",False,False,True,False,False,False
"['kkk', 'pena', 'almar', 'chegar', 'umbral', 'pena', 'espírito', 'receber', 'próximo', 'corpo', 'próximo', 'encarnação', 'mau', 'vir', 'infeliz', 'calvário', 'começar', 'em este', 'prisão', 'fazer', 'feliz', 'tolher', 'liverdade']",False,False,True,False,False,False
"['transar', 'poder', 'fazer', 'barulho', 'vontade', 'outro', 'nível']",False,True,False,False,False,False
"['gostar', 'estudar', 'desenho', 'animar', 'fazer', 'ano', 'nao', 'consigo', 'olhar', 'pra', 'almondega', 'pensar', 'em isso']",False,False,False,False,False,False
"['kkkkk', 'pior', 'enjoar']",False,False,False,False,False,False
"['série', 'Bbc', 'mostrar', 'dramo', 'crise', 'climático', 'viver', 'ameaça', 'todo', 'parte', 'consequência', 'cada', 'vez', 'grave', 'alertar', 'ciência', 'precisar', 'traduzir', 'ação', 'urgente']",False,False,False,False,False,False
"['uso', 'batom', 'claro', 'desde', 'conheço', 'gente']",False,False,False,False,False,False
"['Mano', 'odeio', 'moral', 'Kkkkkkkkkkkkkkkkkkk']",False,False,True,False,False,False
"['segundo', 'começo', 'fazer', 'terapia', 'nunca', 'imaginar', 'chegar', 'fase', 'tão', 'conturbado', 'difícil', 'vida', 'ponto', 'ter', 'passar', 'tristeza', 'fim']",False,False,False,False,False,False
['cametá'],False,False,False,False,False,False
"['caralho', 'car', 'foda', 'demaisdivulguem', 'trampo']",False,True,False,False,False,False
"['neymar', 'vier', 'coutinho', 'ficar', 'griezmann', 'messi', 'dembélé', 'coutinho', 'Jong', 'arthuralba', 'Lenglet', 'piqué', 'semedo', 'ter', 'stegenlamentavelmente', 'entanto', 'busquets', 'suárez', 'sair', 'time', 'titular', 'nada']",False,False,False,False,False,False
"['kkkkkkkkkkkkkkkk', 'sarnear']",False,False,False,False,False,False
"['claro', 'poder', 'todo', 'opção']",False,False,False,False,False,False
['exatamente'],False,False,False,False,False,False
"['mano', 'sla', 'dps', 'de esse', 'video', 'dar', 'vontade', 'gostar', 'algm', 'pedir', 'mto']",False,False,False,False,False,False
"['parabéns', 'mano']",False,False,False,False,False,False
"['olhar', 'tar', 'arder', 'febre', 'ontem', 'vivinha', 'vir', 'desejar', 'parabénxxx', 'muito', 'muito', 'saúde', 'Luz', 'amor', 'ir', 'adotar', 'chamar', 'paozim', 'mel', 'car', 'namorar', 'ver', 'inspira', 'escrever', 'caracter', 'tao', 'acab']",False,False,False,False,False,False
"['bom', 'amigo', 'gente', 'ninguém', 'rouba', 'eu']",False,False,False,False,False,False
"['listar', 'bom', 'lateral', 'Brasil', 'juninho', 'capixabar', 'Lista', 'moral']",False,False,False,False,False,False
"['exa', 'sérgio', 'Moro', 'pronunciar', 'teor', 'conversa', 'agente', 'público', 'prioritário', 'sobre', 'modo', 'obtenção', 'exa', 'vazar', 'gravação', 'presidento', 'intimidade', 'família', 'presidente', 'de esse', 'modo', 'dallagnol', 'cometer', 'prevaricação', 'agora', 'povo', 'saber']",False,False,False,False,False,False
"['orgulho', 'merecer', 'paulinha', 'fab']",False,False,False,False,False,False
['tristir'],False,False,False,False,False,False
"['hahahahahaha', 'invejinho']",False,False,False,False,False,False
"['dever', 'dono', 'água', 'mineral', 'uai', 'distribuir', 'espírito', 'santo']",False,False,False,False,False,False
"['cansaço', 'Time', 'Gabriel', 'machucar', 'acabar', 'ser', 'decisivo', 'movimenta', 'bruno', 'Henrique', 'Centro', 'avante', 'bom', 'opinião']",False,False,False,False,False,False
"['vejo', 'pessoal', 'falar', 'dói', 'Beça', 'achar', 'idade', 'certo', 'pra', 'aparecer', 'de isso', 'dar', 'kkkkkk']",False,False,False,False,False,False
['bundão'],False,True,True,False,False,False
"['puder', 'ouvir', 'novo', 'single', 'sempre', 'apoia', 'cena', 'autoral']",False,False,False,False,False,False
"['bom', 'campanha', 'antir', 'tabagismo', 'calor', 'acendi', 'cigarro', 'agora', 'dois', 'tragada', 'joguei', 'falar', 'cigarro', 'vida', 'nao']",False,False,False,False,False,False
"['homem', 'poder', 'real']",False,False,False,False,False,False
"['craque', 'rodar', 'domingo', 'classificação', 'heróico', 'quarto', 'hoje', 'presentão', 'semana', 'pro', 'rafinhar']",False,False,False,False,False,False
"['caso', 'falar', 'soh', 'repercussao', 'jogador', 'palmeiras', 'contratar', 'mrlhor', 'borja']",False,False,False,False,False,False
"['vejo', 'ana', 'chai', 'família']",False,False,False,False,False,False
"['novo', 'boy', 'gruop', 'pra', 'tirar', 'atenção', 'outro', 'descaso', 'ir', 'parar']",False,False,False,False,False,False
"['gostar', 'irritar', 'menino', 'eugosto', 'bravo', 'ficar', 'ainda', 'gostoso']",False,False,False,False,False,False
"['vejo', 'antis', 'falar', 'ir', 'chegar', 'final', 'tombo', 'vir', 'bem', 'aqui', 'flamengo', 'nada', 'impossível']",False,False,False,False,False,False
['falso'],False,False,True,False,False,False
"['um', 'diaba', 'cinturo', 'fino', 'mano']",False,False,True,False,False,False
"['pensar', 'tomar', 'banho', 'aqui', 'academiar', 'pra', 'pra', 'casa', 'tomar', 'outro', 'banho', 'chegar', 'casa']",False,False,False,False,False,False
['matar'],False,False,True,False,False,False
"['dir', 'Walter', 'abrahão', 'gorrrdo', 'Milton', 'Neves', 'hein']",False,False,True,False,False,False
"['pagar', 'gelo', 'hoje']",False,False,False,False,False,False
"['imaginar', 'ir', 'ter', 'problema', 'algo', 'Faculdade', 'absurdo', 'perfeita']",False,False,False,False,False,False
"['bahia', 'tentar', 'assustar', 'pomba', 'ponto', 'alto', 'dia', 'certezar']",False,False,False,False,False,False
"['mistério', 'ano', 'desde', 'criação', 'Ministério', 'pesco', 'esplanado', 'brasíliar', 'quase', 'mil', 'pescador', 'receber', 'seguro', 'defeso', 'pagar', 'governo']",False,False,False,False,False,False
"['falar', 'barro', 'preto']",False,False,True,True,False,False
"['chri', 'evans', 'querer', 'mundo']",False,False,False,False,False,False
"['ministro', 'Educação', 'sobre', 'Paulo', 'freire', 'tão', 'bom', 'ter', 'pouco', 'país', 'usar', 'método']",False,False,False,False,False,False
"['parabéns', 'tipo', 'ação', 'orgulhar', 'filha', 'saber', 'quanto', 'pequeno', 'ação', 'mexem', 'Conosco']",False,False,False,False,False,False
"['ir', 'pedir', 'pro', 'pai', 'comprar', 'ingresso', 'pro', 'jogo', 'contra', 'bahia']",False,False,False,False,False,False
"['hahahahaha', 'entender', 'porra', 'nenhum', 'crédito', 'nulo', 'outro', 'porta', 'esquerdo']",False,True,True,False,False,False
"['conhecer', 'ministro', 'saúde', 'amontoar', 'polêmica', 'vazio', 'acertar', 'em esse', 'projeto', 'médico']",False,False,True,False,False,False
"['chegar', 'casa', 'ir', 'pra', 'piscina', 'calor', 'tmlc']",False,False,False,False,False,False
"['lir', 'vestidooo']",False,False,False,False,False,False
"['aprender', 'dizer', 'pessoa', 'certo']",False,False,False,False,False,False
"['feliz', 'aniversário', 'sérgio', 'Moro']",False,False,False,False,False,False
"['querer', 'ver', 'canalha', 'olher', 'cara', 'canalha', 'dizer', 'troço', 'de esse']",False,False,True,False,False,False
"['desconfortavel', 'feio', 'msm']",False,False,True,False,False,False
"['irmao', 'negócio', 'super', 'grupo', 'blá', 'blá', 'blá', 'servir', 'pra', 'exol', 'falar', 'mal', 'nct', 'puta', 'merdo']",False,True,True,False,False,False
"['curly', 'lambeau', 'nome', 'estádio', 'franquia', 'green', 'bay', 'packer', 'episódio', 'histórico', 'de esse', 'semana', 'viemos', 'contar', 'pouco', 'sobre', 'aperta', 'play', 'vir', 'gente', 'spotifyr']",False,False,False,False,False,False
"['tribta', 'dois']",False,False,False,False,False,False
"['decidir', 'série', 'ir', 'passar', 'noite', 'assistir', 'terminar', 'stranger', 'things']",False,False,False,False,False,False
"['saber', 'fazer', 'tudo', 'tirar', 'sensação']",False,False,False,False,False,False
"['tanto', 'storie', 'conheço', 'Porto', 'seguro', 'próprio', 'pessoal', 'viajar', 'pra']",False,False,False,False,False,False
"['gênio', 'tentar', 'carreira', 'magistratura', 'condenar', 'instâncio', 'prova', 'achar', 'prova', 'gênio', 'srsrsrssr']",False,False,True,False,False,False
"['tambem', 'tiro', 'foto', 'viar', 'simpatizo', 'nao', 'querer', 'dizer', 'nada', 'puder', 'ainda', 'metir', 'surra']",True,True,True,False,False,False
"['achar', 'foto', 'Renata', 'pequeno', 'cara', 'Ricardo', 'kkkkkkkkk']",False,False,False,False,False,False
"['querer', 'voltar', 'em esse', 'época']",False,False,False,False,False,False
"['rico', 'vergo']",False,True,True,False,True,False
"['hoje', 'dia', 'oficial', 'chorar']",False,False,False,False,False,False
"['rir', 'igual', 'jimin', 'jogo', 'qualquer', 'canto']",False,False,False,False,False,False
"['namorar', 'lir', 'demais']",False,False,False,False,False,False
"['kkkkkkkk', 'apostar', 'em isso', 'tbm', 'Mano']",False,False,False,False,False,False
"['fazer', 'cacá', 'sair', 'correr', 'narrativa', 'preservar', 'meio', 'ambiente', 'cair']",False,False,False,False,False,False
"['astronaut', 'engineer', 'test', 'pilot', 'coach', 'amp', 'corporate', 'trainer', 'Cara', 'couch', 'esperar', 'nada', 'bom']",False,False,True,False,False,False
"['dinheiro', 'continuar', 'mandar', 'problema', 'governador', 'prefeito', 'estados', 'fazer', 'visto', 'grossa', 'desvio']",False,False,False,False,False,False
"['gato', 'perfeito', 'webnamorar', 'perfeito', 'lir', 'demais', 'amo', 'poema']",False,False,False,False,False,False
"['seguro', 'mão', 'deus', 'ir']",False,False,False,False,False,False
"['caralho', 'mano', 'romance', 'quero']",False,True,False,False,False,False
"['prender', 'suspeito', 'invadir', 'celular', 'Moro']",False,False,False,False,False,False
"['pegario', 'alguir', 'atomo', 'conheço', 'ngm', 'achar', 'kakakaakk', 'mandar', 'nome', 'aii']",False,False,False,False,False,False
"['dia', 'caaai', 'hora', 'tbm']",False,False,False,False,False,False
"['gilmar', 'mende', 'aceitar', 'investigar', 'receita', 'Lewandowski', 'mandar', 'prender', 'crítico', 'aeroporto', 'toffoli', 'inventar', 'inquérito', 'censurar', 'rede', 'alexandre', 'moraes', 'querer', 'ninguém', 'investigar', 'stf', 'ditadura', 'judiciário', 'ir', 'aceitar']",False,False,False,False,False,False
"['odeio', 'esperar', 'pqp']",False,True,False,False,False,False
"['sexo', 'nao', 'saber', 'querer', 'vir', 'aqui', 'assistir', 'netflix', 'agarradinho', 'pra', 'gente', 'ficar', 'fazer', 'carinho', 'outro', 'nao', 'aguentar', 'tesao', 'acabar', 'transar', 'tudo', 'bem']",False,True,False,False,False,False
"['bah', 'entao', 'imagina', 'ir', 'ficar', 'quase', 'tão', 'linda', 'quanto']",False,False,False,False,False,False
"['cara', 'novo', 'conseguir', 'mostrar', 'futebol', 'achar', 'rolar']",False,False,False,False,False,False
"['sabe', 'tem', 'boa', 'amiga', 'usar', 'emoji', 'unicórnio', 'associar', 'coisa', 'quase', 'tão', 'lindo']",False,False,False,False,False,False
"['mano', 'issosem', 'condiçõesque', 'dia', 'gente', 'sair', 'tretinho']",False,False,False,False,False,False
"['procurar', 'emprego', 'aproveitar', 'vir', 'direção', 'de esse', 'cara', 'aqui', 'dar', 'trabalho']",False,False,False,False,False,False
"['Sdv', 'direitar']",False,False,False,False,False,False
"['ainda', 'mano']",False,False,False,False,False,False
