tokenized_text,health,ideology,insult,lgbtqphobia,other_lifestyle,physical_aspects,profanity_obscene,racism,sexism,xenophobia
"['abraçar', 'ladrão', 'bosta']",False,True,True,False,False,False,False,False,False,False
"['america', 'lotar', 'cabocle', 'gostoso', 'partir', 'pálir', 'escura', 'estilo', 'pocahonto', 'cavala', 'floquinho', 'never', 'querer', 'porque', 'querer', 'enfiar', 'reserva', 'cheio', 'índio', 'armar', 'caçar', 'hilux', 'pra', 'sujar', 'genética', 'povo', 'descender', 'apenas', 'pessoa', 'separação', 'resto', 'humanidade', 'anosé', 'muito', 'síndrome', 'floquinho', 'neve', 'puta', 'merdo']",True,False,True,False,False,False,True,False,True,True
"['diabo', 'sujo', 'orgulho', 'contar', 'cada', 'detalhe', 'pra', 'envergonhar', 'ainda']",False,False,True,False,False,False,False,False,False,False
"['pedir', 'punido', 'putinha', 'inutil', 'krl', 'calar', 'bocar', 'ir', 'fazer', 'quero']",False,False,True,False,False,False,True,False,True,False
"['sinceramente', 'Brasil', 'crime', 'compensa', 'cara', 'matar', 'próprio', 'filha', 'forma', 'cruel', 'ainda', 'livre', 'bosta', 'Justiça']",False,True,True,False,False,False,False,False,False,False
"['idiota', 'porque', 'acertar', 'faca']",False,False,True,False,False,False,True,False,False,False
"['importante', 'homem', 'tratar', 'bem', 'mulher', 'acredito', 'conquistar', 'mulher', 'questão', 'pois', 'parar', 'carro', 'chamar', 'pra', 'fazer', 'sexo']",False,False,True,False,False,False,True,False,True,False
['bosta'],False,False,True,False,False,False,True,False,False,False
"['hindu', 'santo', 'par', 'atyachar', 'koi', 'aam', 'batr', 'nahi', 'hai', 'gay', 'matar', 'Kata', 'jaa', 'raha', 'hai', 'koi', 'aam', 'batr', 'nahi', 'hai', 'yeh', 'bharetr', 'hai', 'yaha', 'dalar', 'aur', 'Shasan', 'Karo', 'baat', 'fayda', 'angrejo', 'aur', 'mugloo', 'Uthaya', 'tha', 'modi', 'Karo', 'vichar', 'kattee', 'gaye', 'aur', 'kathe', 'hindu', 'Kare', 'pukar']",False,False,True,False,False,False,False,False,False,False
['kkkkkkkkkk'],False,False,False,False,False,False,False,False,False,False
"['car', 'foda', 'comentário', 'riqueza', 'detalhe', 'perfeito', 'merecer', 'mundo']",False,False,False,False,False,False,True,False,False,False
"['poder', 'achar', 'principe', 'encantar', 'sempre', 'ir', 'acabar', 'gorda', 'feio', 'virgem', 'cheio', 'poster', 'crepúsculo', 'parede']",False,False,True,False,False,True,False,False,True,False
"['anunciar', 'dinossauro', 'dar', 'pulo', 'raiva', 'de aquele', 'final', 'santo', 'andrér', 'ainda', 'cima', 'mão', 'saco', 'Mucho', 'mostrar', 'torcida', 'contratar', 'lixo', 'agora', 'ficar', 'fazer', 'vítima']",False,False,True,False,False,False,True,False,False,False
"['semejante', 'hipócrita', 'vis', 'Sentis', 'seguro', 'las', 'pandilla', 'son', 'tus', 'amigo', 'Salvadoreño', 'promedio', 'viver']",False,False,True,False,False,False,False,False,False,False
"['primeiramente', 'mandar', 'foder', 'amigo', 'nenhum', 'dizer', 'outro', 'garota', 'bom', 'perguntar', 'realmente', 'interesse', 'parar', 'agir']",False,False,True,False,False,False,True,False,True,False
"['maluco', 'asqueroso', 'pprt', 'mina', 'maluquinha', 'cabeça', 'tambem']",False,False,True,False,False,True,False,False,False,False
['canalhar'],False,False,True,False,False,False,False,False,False,False
"['ladrão', 'Unidos']",False,False,True,False,False,False,False,False,False,False
"['meno', 'burr']",False,False,True,False,False,False,False,False,False,False
"['podridãor', 'vir', 'tonar', 'fazer', 'tudo', 'ruim', 'em esse', 'país', 'mostrar', 'força', 'ir', 'cair', 'traidor', 'nação']",False,True,True,False,False,False,False,False,False,False
"['nojento', 'fe dp', 'ladrão']",False,False,True,False,False,False,True,False,False,False
"['Merda', 'inferno', 'bucetar', 'porra', 'carair']",False,False,True,False,False,False,True,False,False,False
"['sexo', 'hoje', 'kkkk', 'boy', 'pornozãor', 'arrebentar', 'rabudo', 'amadorismo', 'bundonar', 'por', 'cuzin', 'apertar', 'dlc', 'fuder', 'url']",False,False,True,False,False,False,True,False,False,False
"['pai', 'bizarro']",False,True,True,False,False,False,False,False,False,True
"['importar', 'velhinho', 'burro', 'saber', 'falar', 'analfabeto', 'respeito', 'velho', 'ir', 'contar', 'divino']",False,False,True,False,False,True,False,False,False,False
"['mulher', 'coitar', 'carente', 'culpar', 'var']",False,False,True,False,False,False,True,False,True,False
"['antigamente', 'lobisomem', 'fera', 'sanguinaria', 'travar', 'batalha', 'contra', 'vampiro', 'agora', 'menina', 'lobisomer', 'falar', 'estranho', 'lobisomem', 'andão', 'camisa', 'ennder', 'coisa', 'vampiro', 'brilha', 'sol', 'caralho', 'camisa', 'Lob', 'Porrraaaaarraaa']",False,False,True,False,False,False,True,False,False,False
"['aproveitar', 'férias', 'moldar', 'personalidade', 'presencial', 'estudioso', 'faltoso', 'piranha', 'preguiçoso', 'tal', 'esco']",False,False,True,False,False,False,False,False,False,False
"['Folha', 'desde', 'sempre', 'apoiar', 'ditadura', 'apoiar', 'fascista', 'esquecer', 'falar', 'sobre', 'escândalo', 'emprestar', 'carro', 'ditadurar', 'torturar', 'pessoa', 'Folha', 'golpista', 'nunca', 'fazer', 'autocrítica', 'url']",False,True,True,False,False,False,True,False,False,False
"['vingativo', 'kkkkk', 'covarde']",False,False,True,False,False,False,True,False,False,False
"['último', 'vez', 'pisei', 'tamandaré', 'dar', 'merda', 'crl', 'prometi', 'vir', 'pra', 'buraco', 'vir', 'dnv', 'dnv', 'dar', 'merda', 'crl', 'kkkkkkkkk', 'Lugarzinho', 'porra', 'vsf']",False,False,True,False,False,False,True,False,False,True
"['son', 'los', 'avione', 'combater', 'má', 'moderno', 'tene', 'inepto', 'lo', 'compraronr', 'ustede', 'compraron', 'planeador', 'corrupto']",False,False,True,False,False,False,False,False,False,False
"['silêncio', 'matar']",False,False,True,False,False,False,False,False,False,False
"['tchar', 'inveja', 'bom', 'regiao', 'país', 'pia', 'azedo', 'falar', 'perto', 'gurizada', 'pra', 'ver', 'acontecer', 'cntg', 'bostir', 'facao', 'afiar', 'mlhr', 'atipa', 'de aqui']",False,True,True,False,False,False,False,False,False,True
"['macho', 'ficar', 'desmerecer', 'negro', 'acima', 'peso', 'vcs', 'Ligam']",False,False,True,False,False,True,False,True,False,False
"['bolsonaro', 'sentir', 'saber', 'merdinha', 'humilhar', 'gente', 'fodir', 'bostir', 'smttttttttttt']",False,False,True,False,False,False,True,False,False,False
"['oque', 'idiota', 'poder', 'fazer', 'mãe', 'sempre', 'dizer', 'selecione', 'bem', 'amizade', 'esperar', 'tal', 'paguir', 'justiça', 'incitar', 'esperar', 'Justiça', 'façam', 'parte', 'falar', 'abençoar', 'exatamente', 'oque', 'especialista', 'dizer', 'nazismo', 'pregar', 'arianismo', 'acredito', 'querer', 'ler', 'falar', 'realmente', 'criminoso', 'realmente', 'cometer', 'diverso', 'crime', 'falar', 'pra', 'sofreu', 'nazismo', 'existir', 'algo', 'chamar', 'ética', 'conjunto', 'norma', 'valor', 'fazer', 'mundo', 'dar', 'certo', 'entender', 'pouco', 'ano', 'vida', 'falar', 'graças', 'ética', 'existir', 'mundo', 'graças', 'conjunto', 'norma', 'valor']",False,True,True,False,False,False,True,False,False,False
"['tentar', 'defender', 'anitta', 'conseguir', 'entrevista', 'tudo', 'falar', 'sobre', 'especialista', 'ir', 'água', 'abaixo', 'tweets', 'fazer', 'vergonha']",False,False,True,False,False,False,False,False,True,False
"['parabe', 'cara', 'fodah']",False,False,True,False,False,False,False,False,False,False
"['jojo', 'feio', 'aparecer']",False,False,True,False,False,False,False,False,False,False
"['testir', 'dna', 'dar', 'português', 'caralho', 'etc']",False,False,True,False,False,False,True,False,False,False
"['respeito', 'mulher', 'xingar', 'agora', 'carar', 'muito', 'fazer', 'parabéns']",False,False,True,False,False,False,False,False,True,False
"['parabéns', 'monarzi', 'revelar', 'caráter', 'opinião', 'palavra', 'linr', 'achar', 'tudo', 'poder', 'fazer', 'poder', 'tiro', 'cabeça', 'todo', 'ter', 'direito', 'fazer', 'tudo', 'certo', 'monarzi', 'direito', 'destruir', 'certo', 'Brasil', 'pois', 'acreditar', 'tudo', 'poder', 'direito', 'certo', 'grande', 'otário', 'monarzi']",False,False,True,False,False,False,False,False,False,False
"['vampiro', 'brilha', 'sol', 'depilar', 'namorar', 'car', 'dormir', 'outro', 'falar', 'feliz', 'Felipe', 'falar', 'porra', 'ridículo', 'sthephany', 'tentar', 'distorcer', 'figura', 'vampiro', 'pra', 'algo', 'feminino', 'resultar', 'história', 'totalmente', 'absurda', 'lançar', 'livro', 'filme', 'assistir', 'pensar', 'veria', 'vampiro', 'verdade', 'decepcioneir', 'geral', 'ver', 'distorção', 'fazer']",False,False,True,False,False,False,False,False,True,False
"['errar', 'feio', 'cara', 'irei', 'massacrar', 'todo', 'errar', 'cara', 'seguir', 'frente', 'levantar', 'cabeça', 'bom', 'sorte']",False,False,True,False,False,False,False,False,False,False
"['povo', 'burro', 'Brasil', 'invés', 'ficar', 'perder', 'tempo', 'discutir', 'certo', 'errar', 'focar', 'pandemia', 'povo', 'esquerdar', 'direito', 'entender', 'momento', 'pra', 'ficar', 'brigar', 'fazer', 'manifestação', 'pegar', 'Merda', 'vírus', 'ir', 'dar', 'trabalho', 'pra', 'pai', 'mãe', 'poder', 'pra', 'casa', 'direito', 'pois', 'ficar', 'trabalhar', 'dobrar', 'hospital', 'ir', 'respeitar', 'quarentena', 'par', 'comer', 'capim', 'pouco']",False,True,True,False,False,False,False,False,False,True
"['merdar', 'ridículo', 'imposição', 'mau', 'ainda', 'utilizar', 'criança']",False,False,True,False,False,False,True,False,False,False
"['mongolóide', 'vip', 'hashtag']",False,False,True,False,False,False,False,False,False,False
"['chorar', 'kkkkkk']",False,False,True,False,False,False,False,False,False,False
"['bicho', 'doer']",True,False,True,False,False,False,False,False,False,False
"['tar', 'ate', 'ir', 'bem', 'ler', 'palavra', 'macho', 'errar', 'homem', 'merdar', 'de esse', 'femimismo', 'apodrecer', 'mente']",False,True,True,False,False,False,False,False,True,False
"['caracar', 'acordar', 'assim', 'mau', 'aqui', 'casa', 'kkkkk', 'cara', 'Maluco', 'vontade', 'enfiar', 'mão', 'car', 'apesar', 'pra', 'briga']",True,False,True,False,False,False,False,False,False,False
"['usted', 'puede', 'criticar', 'alguien', 'usted', 'también', 'tiene', 'rabo', 'majen', 'siéntese', 'mejor']",False,False,True,False,False,False,True,False,False,False
"['nojo', 'de esse', 'mulher', 'kkk', 'educação']",False,False,True,False,False,False,False,False,True,False
"['man', 'atrever', 'dice', 'eso', 'fico', 'pero', 'olvidar', 'mesías', 'alu', 'aureliano', 'narco', 'genocer', 'terrorista']",False,False,True,False,False,False,False,False,False,False
"['amigo', 'problema', 'putar', 'crise', 'Fucking', 'vírus', 'rolar', 'chamar', 'galerar', 'pra', 'rua', 'tipo', 'presidente', 'cara', 'pingo', 'preparo', 'pra', 'nada', 'ficar', 'estressar', 'literalmente', 'tudo', 'falar', 'invés', 'responder', 'entrevisto', 'forma', 'sério', 'consistente', 'cara', 'responde', 'ir', 'dar', 'furo', 'pra', 'jornalista']",False,False,True,False,False,False,True,False,False,False
"['de esse', 'filme', 'mongoloide']",False,False,True,False,False,False,False,False,False,False
"['juiza', 'ganhar', 'respeito', 'kkkk', 'parabéns', 'juízar', 'botar', 'rachar', 'msm', 'em esse', 'bandido', 'luladrao']",False,True,True,False,False,False,False,False,False,False
"['urr', 'durr', 'xenofóbico', 'fudir', 'caralho']",False,True,True,False,False,False,True,False,False,False
"['mlk', 'dou', 'risada', 'mentir', 'ter', 'pegar', 'mina', 'pra', 'ficar', 'cima', 'kkkjkkkkkk', 'pilantra', 'ir', 'ter', 'zuar']",False,False,True,False,False,False,True,False,False,False
"['escolher', 'humilhar', 'bom']",False,False,True,False,False,False,False,False,False,False
"['proposta', 'ridícula', 'ridículo', 'empresa', 'precisar', 'fazer', 'pra', 'conseguir', 'cliente', 'galerar', 'vir', 'pra', 'www', 'upessencia']",False,False,True,False,False,False,False,False,False,False
"['suéltalo', 'ese', 'mongol', 'ilusionó', 'gente', 'con', 'lecaro', 'Jajajajajajajajaja', 'jurabar', 'Chato', 'Jugaría']",False,False,True,False,False,False,False,False,False,False
"['puder', 'morder', 'próprio', 'rabo']",False,False,False,False,False,False,True,False,False,False
"['Lula', 'ladrão', 'desgraçar', 'representar', 'corrupção', 'país']",False,True,True,False,False,False,False,False,False,False
"['carar', 'nunca', 'mendigo']",False,False,True,False,False,False,False,True,False,False
"['dizer', 'ridículo', 'dever', 'crepusculo', 'aguentar', 'ouvir', 'verdade', 'sobre', 'filme', 'kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk']",False,False,True,False,False,False,False,False,False,False
"['lgbt', 'certo', 'espalhar', 'burrice']",False,False,True,True,False,False,False,False,False,False
"['fazer', 'calmo', 'agr', 'arrombar', 'fudido', 'caralho']",False,False,True,False,False,False,True,False,False,False
"['gatinha', 'pinga', 'ladrao']",False,False,True,False,False,False,False,False,False,False
"['sinto', 'assisti', 'Crepúsculo', 'gostar', 'filme', 'tudo', 'falar', 'verdade', 'negar', 'enredo', 'fraco', 'garota', 'pateticamente', 'sal', 'todo', 'mundo', 'louco', 'desde', 'garotinho', 'Graça', 'Escola', 'Cara', 'bonito', 'popular', 'colégio', 'passar', 'amigo', 'infância', 'falar', 'sério', 'ir', 'combinar', 'direito', 'mandar', 'ninguém', 'calar', 'bocar', 'respeiter', 'opinião', 'outro', 'ficar']",False,False,True,False,False,False,False,False,False,False
"['Deus', 'saidinha', 'criar', 'Merda']",False,False,True,False,False,False,True,False,False,False
"['ir', 'toma', 'desgraçar', 'url']",False,False,True,False,False,False,True,False,False,False
"['burro', 'lembrar', 'loja', 'lar', 'teatro', 'bandeira']",False,False,True,False,False,False,False,False,False,False
"['ueaheuaehuheauheauhae', 'mano', 'cara', 'ficar', 'puto', 'Aaah', 'amor', 'Deus']",False,False,True,False,False,False,True,False,False,False
"['país', 'cachorro', 'mija', 'poste', 'enaltecer', 'degenerar', 'de esse', 'prova', 'vivo', 'país', 'merecer']",False,False,True,False,False,False,True,False,False,True
"['fazer', 'sexo', 'belo', 'porque', 'matar', 'então', 'sangue', 'endurecer', 'pinto']",False,False,True,False,False,False,True,False,False,False
"['único', 'visibilidade', 'midio', 'coisa', 'ruim', 'assassinato', 'nenhum', 'privilégio', 'car', 'tentar', 'mudar', 'representado', 'pessoa', 'normal', 'casal', 'normal', 'discursaor', 'todo', 'causa', 'video', 'onde', 'mostrar', 'todo', 'forma', 'amor', 'foda']",False,False,True,False,False,False,True,False,False,False
"['acompáñenme', 'hacer', 'origami', 'con', 'papel', 'estuper']",False,False,True,False,False,False,False,False,False,False
"['preciso', 'dinheiro', 'dinheiro', 'procuro', 'trabalho', 'encontro', 'nada', 'cidade', 'merdo', 'preciso', 'fazer', 'implante', 'dentário', 'onde', 'cair', 'matar', 'Faculdade', 'medicinar', 'perto', 'de aqui', 'ficar', 'fila', 'imenso', 'implante', 'pagar', 'apesar', 'pouco', 'barato', 'fazer', 'conseguir', 'dinheiro', 'puta', 'merdo']",False,False,True,False,False,False,True,False,False,False
"['fodir', 'ver', 'gente', 'provavelmente', 'nenhum', 'base', 'marketing', 'querer', 'dizer', 'erro', 'único', 'erro', 'sociedade', 'homofóbicar', 'msm']",False,False,True,False,False,False,True,False,False,False
"['bosta', 'comercial', 'pqp']",False,False,True,False,False,False,True,False,False,False
"['querer', 'ver', 'um', 'peito', 'balançar', 'buceta', 'ser', 'masturbar', 'alguir', 'dispoe', 'retribuo', 'hashtag', 'hashtag', 'hashtag', 'hashtag', 'hashtag', 'hashtag', 'hashtag', 'hashtag', 'hashtag', 'hashtag', 'hashtag', 'hashtag', 'hashtag']",False,False,False,False,False,True,True,False,True,False
"['lamento', 'fazer', 'vejo', 'nazista', 'vejo', 'idealista', 'defender', 'direito', 'livre', 'expressão', 'roubar', 'justamente', 'causa', 'vido', 'sim', 'criminoso', 'dia', 'liberdade', 'expressão', 'poder', 'discutir', 'pra', 'transformar', 'mente', 'nazismo', 'sim', 'começar', 'partir', 'momento', 'permitir', 'ter', 'outro', 'idéia', 'partir', 'estabelecer', 'flow', 'fazer', 'flow', 'ser']",False,False,True,False,False,False,False,False,False,False
"['falar', 'situação', 'bosta', 'fazer', 'mesmo', 'coisa', 'acontecer', 'agora', 'scooby', 'sorrateiro', 'escroto', 'passado']",False,False,True,False,False,False,False,False,False,False
"['nao', 'debater', 'dizer', 'ser', 'homofobico', 'errar', 'nao', 'criança', 'qualquer', 'pessoa', 'discorde', 'criança', 'acho', 'unico', 'criança', 'aqui', 'mentalidade', 'sim', 'estudo', 'ajudar', 'pai', 'realmente', 'nao', 'ligo', 'achar', 'conheço', 'afim', 'conhecer']",False,False,True,True,False,False,True,False,False,False
['porra'],False,False,False,False,False,False,True,False,False,False
"['muito', 'sai', 'boca', 'chegar', 'vontade', 'vomitar', 'vocabulário', 'chulo']",False,False,True,False,False,False,True,False,False,False
"['dar', 'nenhum', 'url']",False,False,True,False,False,False,True,False,False,False
"['querer', 'saber', 'oque', 'povo', 'besta', 'fazer', 'ver', 'vídeo', 'mau', 'ainda', 'comentar', 'crlho', 'deixar', 'menina', 'feliz', 'menos', 'coragem', 'mostrar', 'coisa', 'muito', 'gostosonas', 'escuro', 'mostrar', 'corpo', 'nenhum', 'momento', 'video', 'vih', 'influenciar', 'nenhum', 'mulher', 'gordar', 'par', 'julgar', 'parabéns', 'linda', 'oque', 'querer', 'gordar', 'magra', 'pago', 'comida']",True,True,True,False,False,True,False,False,True,False
"['viadinho', 'lir', 'ir', 'foder', 'kaworu']",False,False,True,True,False,False,True,False,False,False
"['ver', 'cagada']",False,False,True,False,False,False,True,False,False,False
"['tão', 'engraçar', 'diferença', 'poder', 'pro', 'querer', 'povo', 'ficar', 'tipo', 'bichinho', 'poder', 'fico', 'tipo', 'feliz', 'saber', 'escolher', 'bom', 'parte', 'libertador']",False,False,True,True,False,False,False,False,False,False
"['cara', 'falar', 'Merda', 'puto', 'parir', 'cara', 'idiota', 'jogador', 'Minecraft']",False,False,True,False,False,False,True,False,False,False
"['hay', 'papá', 'pueden', 'costear', 'una', 'niñer', 'disculpa', 'los', 'arruinar', 'peda', 'egoista']",False,False,True,False,False,False,False,False,False,False
"['meudeu', 'acabar', 'sair', 'shopping', 'pra', 'comprar', 'roupa', 'Mae', 'senhor', 'amar', 'gordar', 'gordar', 'gordar', 'gordola', 'fatspo', 'nivel', 'ir', 'matar', 'fazer', 'hora', 'pro', 'cinema', 'comi', 'porca', 'ir', 'tentar', 'tudo']",True,False,True,False,False,True,True,False,False,False
"['achar', 'verdade', 'querer', 'vingar', 'corno', 'direto', 'pra', 'frente', 'casa']",False,False,True,False,False,False,False,False,True,False
"['vir', 'deixar', 'dislike', 'alio', 'achar', 'ridículo']",False,False,True,False,False,False,False,False,False,False
"['quebra', 'pau', 'aqui', 'academir', 'vir', 'cara', 'tirar', 'satisfação', 'outro', 'ficar', 'mulher', 'corno', 'levar', 'soco', 'cara', 'cair', 'chão']",False,False,True,False,False,False,False,False,False,False
"['desculper', 'gente', 'mulher', 'nenhum', 'feliz', 'corpo', 'precisar', 'tratamento', 'doença']",True,False,True,False,False,True,False,False,False,False
"['demais', 'cheio', 'mongoloide', 'em esse', 'porra']",False,False,True,False,False,False,False,False,False,False
"['bar', 'pilantro', 'filho']",False,False,True,False,False,False,True,False,False,False
"['vagabunda', 'cancelar', 'selo', 'onde', 'grande', 'detetive', 'junto', 'batman', 'Rorschach', 'ousar', 'chamar', 'detetive', 'comics', 'agora', 'ir', 'ter', 'selo', 'vertigo', 'bar', 'outro', 'detetive', 'meio', 'abluble', 'ideiar', 'url']",False,False,True,False,False,False,True,False,False,False
"['abraço', 'bem', 'gay']",False,False,True,True,False,False,False,False,False,False
"['Moro', 'mentir']",False,False,True,False,False,False,False,False,False,False
"['foda', 'parabéns', 'felipe', 'bom']",False,False,True,False,False,False,True,False,False,False
"['ahora', 'fuck', 'cupido', 'soy', 'estúpir', 'nuestro', 'único']",False,False,True,False,False,False,False,False,False,False
"['bastar', 'palavra', 'mãe', 'sintar', 'lixo']",False,False,True,False,False,False,False,False,False,False
"['putar', 'paril', 'virgem', 'virgem', 'virgem', 'virgem', 'virgem']",False,False,True,False,False,False,True,False,True,False
"['ir', 'colocar', 'ordem', 'einnnn', 'saber', 'falar', 'trabalha', 'pra', 'pes', 'falar', 'ontem', 'tar']",False,False,True,False,False,False,False,False,False,False
"['infelizmente', 'monark', 'longe', 'demais', 'errar', 'errar', 'esperar', 'aprenda', 'mau', 'forma', 'lição', 'vido']",False,False,True,False,False,False,False,False,False,False
"['romântico', 'pra', 'poha', 'mendigo', 'pele', 'macio', 'quente', 'voz', 'doce', 'envolvente', 'caray', 'maluco']",False,False,True,False,False,False,True,False,True,False
"['tomar', 'ratio', 'fudir', 'caralho', 'url']",False,False,True,False,False,False,False,False,False,False
"['ridículo', 'assisti', 'época', 'acabar', 'chorar', 'aqui', 'kkkk']",False,False,True,False,False,False,False,False,False,False
"['outro', 'retardar', 'primeiro', 'mandar', 'matéria', 'jovem', 'pan', 'mentiroso', 'segundo', 'toma', 'aqui', 'outro', 'fonte', 'mongoloidir', 'massa', 'manobro', 'assim', 'saber', 'verificar', 'sozinho', 'Bbc', 'bolsonarista', 'url', 'focus', 'Time', 'ciro', 'url']",True,True,True,False,False,False,False,False,False,False
"['vcs', 'um', 'porcaria', 'criança']",False,False,True,False,False,False,False,False,False,False
"['ano', 'aqui', 'nada', 'mudo']",False,False,True,False,False,False,False,False,False,True
"['coisa', 'ridículo']",False,False,True,False,False,False,False,False,False,False
"['caralho', 'fuder']",False,False,True,False,False,False,True,False,False,False
"['hoje', 'falar', 'tudo', 'contrário', 'vídeo']",False,False,True,False,False,False,False,False,False,False
"['tia', 'ligar', 'prima', 'dizer', 'chegar', 'ate', 'agora', 'ruar', 'cade', 'voce', 'filha', 'puto', 'parecer', 'gostar', 'irritar']",False,False,True,False,False,False,True,False,False,False
"['palhaçar', 'Brasil', 'existir', 'poder', 'alguir', 'pato', 'pai', 'filho', 'poder', 'sair', 'dia', 'pal', 'quanta', 'hipocrisia', 'ver']",False,False,True,False,False,False,False,False,False,True
"['professor', 'mandar', 'inbecil', 'estudar']",False,False,True,False,False,False,False,False,False,False
"['pqp', 'ir', 'usar']",False,False,True,False,False,False,True,False,True,False
"['mau', 'edição', 'fazer', 'kkkk', 'Kkkk', 'expulso', 'único', 'famoso']",False,False,True,False,False,False,False,False,False,False
"['óbvio', 'nazista', 'falar', 'Merda', 'sujar', 'onde', 'chegar', 'ir', 'taxar', 'nazista', 'dois', 'ficar', 'mão', 'pra', 'resolver', 'ir', 'ter', 'dureza', 'frente']",False,True,True,False,False,False,False,False,False,False
"['curso', 'coisa', 'gente', 'retardar', 'mental', 'vsf', 'porra']",True,False,True,False,False,False,True,False,False,False
"['sim', 'adorar', 'professor', 'burrinho']",False,False,True,False,False,False,False,False,False,False
['diabólico'],False,False,True,False,False,False,False,False,False,False
"['carar', 'líder', 'rachadinha', 'juntamente', 'perfeitir', 'acessor', 'abrir', 'boca', 'trombone', 'sair', 'sujeiro', 'esgoto', 'resumir', 'bander', 'vagabur', 'oportunista', 'meter', 'pau', 'presidente']",False,True,True,False,False,False,False,False,False,False
"['falar', 'salle', 'ter', 'ser', 'ministro', 'bolsonaro', 'ter', 'defender', 'madeireira', 'ilegal', 'cortando', 'Madeira', 'nobrir', 'pra', 'vender', 'preço', 'pinho', 'quintos', 'inferno', 'mal', 'informar', 'pra', 'alguém', 'tão', 'seguro', 'saber', 'tudo']",False,True,True,False,False,False,False,False,False,False
"['falar', 'nada', 'falar', 'cgi', 'inicialmente', 'tar', 'merda', 'caro', 'vir', 'atacar', 'issokkkkkkkk', 'falar', 'fato']",False,False,True,False,False,False,False,False,True,False
"['pensar', 'apaixonar', 'crepusculo', 'ano', 'hoje', 'achar', 'merdar', 'fala', 'nexo', 'nenhum', 'arreper', 'gostar', 'porra', 'de esse']",False,False,True,False,False,False,False,False,False,False
"['nada', 'pra', 'fazer', 'ir', 'assistir', 'ppv', 'hipócrito']",False,False,True,False,False,False,False,False,False,False
"['fazer', 'puto', 'gemer', 'gostoso', 'pauzão', 'url']",False,False,True,True,False,False,True,False,True,False
"['ladrão', 'lula', 'demente', 'psicopata']",True,True,True,False,False,False,False,False,False,False
"['todynher', 'vacilão', 'tudo', 'querer', 'resolver', 'grito', 'achar', 'poder', 'peitar', 'todo', 'mundo']",False,False,True,False,False,False,False,False,False,False
"['poder', 'dar', 'aula', 'pra', 'homem', 'escroto']",False,False,True,False,False,False,False,False,True,False
"['povo', 'brasileiro', 'ir', 'usar', 'viseira', 'cego', 'presidente', 'doir', 'ter', 'derramamento', 'sangue', 'povo', 'ir', 'ver', 'consequência', 'acordar', 'povo']",False,True,True,False,False,False,False,False,False,False
"['filho', 'puta', 'desgraçar', 'ofender', 'Juiz', 'ladrão', 'preparar', 'vcs', 'bandir', 'tratamento', 'ir', 'altura']",False,False,True,False,False,False,True,False,False,False
"['falar', 'bem', 'tudo', 'votar', 'bolso', 'fudeo', 'givanildar']",False,True,True,False,False,False,False,False,False,False
