text,tokenized_text,homophobia,obscene,insult,racism,sexism,xenophobia
vou beijando copo abraçando garrafas solidão companheira nesse risca faca enquanto volta largado traças maldito sentimento nunca acaba,"['ir', 'beijar', 'copo', 'abraçar', 'garrafa', 'solidão', 'companheiro', 'em esse', 'risca', 'faco', 'enquanto', 'voltar', 'largar', 'traças', 'maldito', 'sentimento', 'nunca', 'acabar']",0,0,0,0,0,0
caralho blogueira pagando publi,"['caralho', 'blogueira', 'pagar', 'publi']",0,1,0,0,0,0
porraaaaaaaaaaaaaaaaaaaaaaaaaaaa,['porraaaaaaaaaaaaaaaaaaaaaaaaaaaar'],0,1,0,0,0,0
acabou publicar foto amazonas,"['acabar', 'publicar', 'foto', 'amazona']",0,0,0,0,0,0
saudades nao ligar pra porra nenhuma bem fácil,"['saudade', 'nao', 'ligar', 'pra', 'porra', 'nenhum', 'bem', 'fácil']",0,1,0,0,0,0
piso cozinha yngrid vai pagar agora pensando arm谩rio deus maquiagens,"['piso', 'cozinha', 'yngrid', 'ir', 'pagar', 'agora', 'pensar', 'arm谩rio', 'Deus', 'maquiagem']",0,0,0,0,0,0
opinião stf pode usar superinquérito pausar investigações afastar deltan,"['opinião', 'stf', 'poder', 'usar', 'superinquérito', 'pausar', 'investigação', 'afastar', 'deltan']",0,0,0,0,0,0
dor cabeça passa,"['dor', 'cabeça', 'passar']",0,0,0,0,0,0
prof eliane santos olha,"['prof', 'eliane', 'santo', 'olhar']",0,0,0,0,0,0
putz viadinho falou pagar fevereiro ate agora nada pai amado,"['putz', 'viadinho', 'falar', 'pagar', 'fevereiro', 'ate', 'agora', 'nada', 'pai', 'amar']",1,0,0,0,0,0
adianta beber medida certs cauxulaxamenye pra desgraça beber acaba porra toda,"['adiantar', 'beber', 'Medida', 'cert', 'cauxulaxamenye', 'pra', 'desgraça', 'beber', 'acabar', 'porra', 'todo']",0,1,1,0,0,0
coloco algo cabeça difícil tirar enquanto consigo quero sossego,"['coloco', 'algo', 'cabeça', 'difícil', 'tirar', 'enquanto', 'consigo', 'querer', 'sossego']",0,0,0,0,0,0
advogado inglês lawyer attorney counsel counselor solicitor barrister assista vídeo acabe dúvida via,"['advogado', 'inglês', 'Lawyer', 'attorney', 'counsel', 'Counselor', 'solicitor', 'barrister', 'assista', 'vídeo', 'acabar', 'dúvida', 'ver']",0,0,0,0,0,0
povo desinformado agora falando matei velhinho,"['povo', 'desinformar', 'agora', 'falar', 'matar', 'velhinho']",0,0,0,0,0,0
crlllll mlk pica,"['crlllll', 'mlk', 'pico']",0,1,0,0,0,0
shopping gnt tava passando saraiva inclinei cabeça pra ver vitrine irmã puxou dizendo pode ver livraria pqp vem logo gente,"['shopping', 'gnt', 'tar', 'passar', 'saraivo', 'inclinei', 'cabeça', 'pra', 'ver', 'vitrine', 'irmã', 'puxar', 'dizer', 'poder', 'ver', 'livraria', 'pqp', 'vir', 'logo', 'gente']",0,1,0,0,0,0
agora maria falou ler deus gente cafona bando velho marisa passam cafonas senhora,"['agora', 'maria', 'falar', 'ler', 'deus', 'gente', 'cafonar', 'bar', 'velho', 'marisa', 'passar', 'cafona', 'senhor']",0,0,1,0,0,0
melhor fracassaram miseravelmente,"['bom', 'fracassar', 'miseravelmente']",0,0,1,0,0,0
putinha capô fusca kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,"['putinha', 'capô', 'fusca', 'kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk']",0,0,0,0,1,0
homem gosta bonito homem gosta umbigo dentro,"['homem', 'gostar', 'bonito', 'homem', 'gostar', 'umbigo', 'dentro']",0,0,0,0,0,0
nao botando caralha sempre aparece toda santa vez vai toma pra,"['nao', 'botar', 'caralha', 'sempre', 'aparecer', 'todo', 'santo', 'vez', 'ir', 'toma', 'pra']",0,1,1,0,0,0
ficar sonzinh casa t茫o bom sinto maior paz馃槉馃檶,"['ficar', 'sonzinh', 'casa', 't茫o', 'bom', 'sinto', 'grande', 'paz馃槉馃檶']",0,0,0,0,0,0
mano raiva ódio bem pior,"['mano', 'raivo', 'ódio', 'bem', 'mau']",0,0,0,0,0,0
amei video maravilhosa vergonha fucar nua pro maridão liga pra valeu,"['amei', 'video', 'maravilhosa', 'vergonha', 'fucar', 'nu', 'pro', 'maridão', 'Liga', 'pra', 'valeu']",0,0,0,0,0,0
amo amiga,"['amo', 'amigo']",0,0,0,0,0,0
jackson burro vir tênis branco pra trilha,"['jackson', 'burro', 'vir', 'tênis', 'branco', 'pra', 'trilha']",0,0,0,0,0,0
defeito porra quero saber qualidade,"['defeito', 'porra', 'querer', 'saber', 'qualidade']",0,1,0,0,0,0
viado nojento caralho smt ent podre verme inutil,"['viar', 'nojento', 'caralho', 'smt', 'ent', 'podre', 'verme', 'inutil']",1,0,0,0,0,0
tanta ate ignorância apoiar fim picada sendo intenção,"['tanto', 'ate', 'ignorância', 'apoiar', 'fim', 'picar', 'ser', 'intenção']",0,0,1,0,0,0
bom dia flor dia,"['bom', 'dia', 'flor', 'dia']",0,0,0,0,0,0
vender onde lucro onde preju铆zo faz fica governo,"['vender', 'onde', 'lucro', 'onde', 'preju铆zo', 'fazer', 'ficar', 'governo']",0,0,0,0,0,0
maloma,['maloma'],0,1,1,0,0,0
poxa sempre escrevi xing ling,"['poxar', 'sempre', 'Escrevi', 'xing', 'ling']",0,0,0,0,0,1
caraca sobrinha perfeita demais mano,"['caraco', 'sobrinho', 'perfazer', 'demais', 'mano']",0,0,0,0,0,0
porque foda pra caralho,"['porque', 'foda', 'pra', 'caralho']",0,0,0,0,0,0
vai toma filho puta ódio nessa porra,"['ir', 'toma', 'filho', 'puta', 'ódio', 'em esse', 'porra']",0,1,1,0,0,0
colocar noeul pra dormir comigo manhã pior decisão tomei hoje porque acordei tempo tentando colocar dedinhos dentro boca,"['colocar', 'noeul', 'pra', 'dormir', 'comigo', 'manhã', 'mau', 'decisão', 'tomeir', 'hoje', 'porque', 'acordar', 'tempo', 'tentar', 'colocar', 'dedinho', 'dentro', 'boca']",0,0,0,0,0,0
tempo pra boy lixo,"['tempo', 'pra', 'boy', 'lixo']",0,0,1,0,0,0
vei porra mundo gente vivendo,"['vei', 'porra', 'mundo', 'gente', 'viver']",0,0,0,0,0,0
deus mandando sinal pra mim andar bike pqp bicho pneu bike furou arrumei furou dnv comecei usar pai merda pneu furou bikeeeee vou fazer coisas bike infernooo,"['deus', 'mandar', 'sinal', 'pra', 'eu', 'andar', 'bike', 'pqp', 'bicho', 'pneu', 'Bike', 'furar', 'arrumei', 'furar', 'dnv', 'começar', 'usar', 'pai', 'Merda', 'pneu', 'furar', 'Bikeeeee', 'ir', 'fazer', 'coisa', 'bike', 'infernooo']",0,0,0,0,0,0
caralho gente chata mano tomar paulo vai anunciar juanfran agora milhão jogo acontecendo,"['caralho', 'gente', 'chato', 'mano', 'tomar', 'Paulo', 'ir', 'anunciar', 'juanfran', 'agora', 'milhão', 'jogo', 'acontecer']",0,1,1,0,0,0
tesão passivo pau bem duro assim,"['tesão', 'passivo', 'pau', 'bem', 'duro', 'assim']",0,1,0,0,0,0
cala boca vadia ouvindo amado batista,"['calar', 'boca', 'vadio', 'ouvir', 'amar', 'batista']",0,0,0,0,1,0
help gente ajudem ganhar relógio nunca pedi nada aqui sempre ajudo preciso bater meta antes mês acabar fav ajudem,"['help', 'gente', 'ajudar', 'ganhar', 'relógio', 'nunca', 'pedir', 'nada', 'aqui', 'sempre', 'ajudo', 'preciso', 'bater', 'meta', 'antes', 'mês', 'acabar', 'fav', 'ajudar']",0,0,0,0,0,0
brasileiro fecha porta ladrão entrou roubou,"['brasileiro', 'fechar', 'porta', 'ladrão', 'entrar', 'roubar']",0,0,0,0,0,1
cabelinho azul pqp odeio cara,"['cabelinho', 'azul', 'pqp', 'odeio', 'cara']",0,0,1,0,0,0
vezes ficar quieto pode forma inteligente agir,"['vez', 'ficar', 'quieto', 'poder', 'forma', 'inteligente', 'agir']",0,0,1,0,0,0
foto gay tirou mostrando roupa dormiu pra falar frio vdd apenas pra marcar rola mostrar aguento,"['foto', 'gay', 'tirar', 'mostrar', 'roupa', 'dormir', 'pra', 'falar', 'frio', 'vdd', 'apenas', 'pra', 'marcar', 'rola', 'mostrar', 'aguento']",0,1,1,0,0,0
caralho,['caralho'],0,1,0,0,0,0
pois diga nao sabia paraiba residencia kkkkkkkkk,"['pois', 'digar', 'nao', 'saber', 'paraieb', 'residencia', 'kkkkkkkkk']",0,0,0,0,0,0
governar bom nada brasil afundado crise enorme presidente agenda ridícula passeio quer trabalhar saia deixe outro trabalhar país,"['governar', 'bom', 'nada', 'Brasil', 'afundar', 'crise', 'enorme', 'presidente', 'agendar', 'ridícula', 'passeio', 'querer', 'trabalhar', 'saia', 'deixar', 'outro', 'trabalhar', 'país']",0,0,1,0,0,0
cacete esfriou nada,"['cacete', 'esfriar', 'nada']",0,0,0,0,0,0
tocantins vey quente parece amgs,"['tocantim', 'vey', 'quente', 'parecer', 'amgs']",0,1,1,0,0,0
geovana hipocrisia mato kkkk amor,"['geovana', 'hipocrisia', 'Mato', 'Kkkk', 'amor']",0,0,0,0,0,0
fico chega aqui casa falta conta andar direito tadin,"['fico', 'chegar', 'aqui', 'casa', 'faltar', 'contar', 'andar', 'direito', 'Tadin']",0,0,0,0,0,0
resolução dessas bixo fica difícil ver qualquer coisa,"['resolução', 'de esse', 'bixo', 'ficar', 'difícil', 'ver', 'qualquer', 'coisa']",0,0,0,0,0,0
burro tomei antibiótico dose única hoje sendo beber tarde idiota kkkkk vou ter ficar beber,"['burro', 'tomei', 'antibiótico', 'dose', 'único', 'hoje', 'ser', 'beber', 'tarde', 'idiota', 'kkkkk', 'ir', 'ter', 'ficar', 'beber']",0,0,0,0,0,0
masculina cair bunda tandara amo negah,"['masculino', 'cair', 'bunda', 'tandar', 'amo', 'negah']",0,0,0,0,0,0
deus quanta homofobia vendo pensamentos quadrados bestas quadradas cresçam venham papo nada contra gays porque cola,"['deus', 'quanta', 'homofober', 'ver', 'pensamento', 'quadrar', 'besta', 'quadrar', 'cresçar', 'vir', 'papo', 'nada', 'contra', 'gay', 'porque', 'colar']",0,0,1,0,0,0
cada gole dou coca cola sinto gosto morte,"['cada', 'gole', 'dar', 'coca', 'cola', 'sinto', 'gostar', 'morte']",0,0,0,0,0,0
autorizado joão doria estado paulo agora dia exclusivo pessoas poderão orar políticos argumentos passagem bíblica doria psdb sabem auxiliar pobres bíblico joão doria satinho pau oco,"['autorizar', 'João', 'dor', 'Estado', 'Paulo', 'agora', 'dia', 'exclusivo', 'pessoa', 'poder', 'orar', 'político', 'argumento', 'passagem', 'bíblico', 'dor', 'psdb', 'saber', 'auxiliar', 'pobre', 'bíblico', 'João', 'dor', 'satinho', 'pau', 'oco']",0,0,1,0,0,0
caralho saudade namorado,"['caralho', 'saudade', 'namorar']",0,0,0,0,0,0
aish mds porra garoto cansa fazer apaixonar cada vez,"['Aish', 'Mds', 'porra', 'garoto', 'cansar', 'fazer', 'apaixonar', 'cada', 'vez']",0,1,0,0,0,0
voz traveco aaaaa,"['voz', 'traveco', 'aaaaar']",1,0,0,0,0,0
lula ladrão desgraçado representa corrupção país,"['Lula', 'ladrão', 'desgraçar', 'representar', 'corrupção', 'país']",0,0,1,0,0,0
mary via sempre rua crush mim nunca puxou assunto comigoum dia começamos conversar show fucking raça negra pra conhecer mês vem faz ano show aconteceu,"['Mary', 'ver', 'sempre', 'rua', 'Crush', 'eu', 'nunca', 'puxar', 'assunto', 'Comigoum', 'dia', 'começar', 'conversar', 'show', 'fucking', 'raça', 'negro', 'pra', 'conhecer', 'mês', 'vir', 'fazer', 'ano', 'show', 'acontecer']",0,1,0,0,0,0
agora compraram netshoes podem devolver acesso conta alguém entrou alterou email nunca consegui entrar atendimento telefônico lixo segurança idem aguardo,"['agora', 'comprar', 'netshoe', 'poder', 'devolver', 'acesso', 'contar', 'alguém', 'entrar', 'alterar', 'email', 'nunca', 'conseguir', 'entrar', 'atendimento', 'telefônico', 'lixo', 'segurança', 'idir', 'aguardo']",0,0,0,0,0,0
vampiro merda,"['vampiro', 'Merda']",0,0,1,0,0,0
hmmmm quero,"['hmmmm', 'quero']",0,0,0,0,0,0
dia semana sol caralho trabalhar fds vem chuva porra dar vontade comer,"['dia', 'semana', 'sol', 'caralho', 'trabalhar', 'fds', 'vir', 'chuva', 'porrar', 'dar', 'vontade', 'comer']",0,1,0,0,0,0
imagem deixa coração quentinho,"['imagem', 'deixar', 'coração', 'quentinho']",0,0,0,0,0,0
crepúsculo merdinha,"['crepúsculo', 'merdinho']",0,0,1,0,0,0
odeio qnd amigos lembram esquemas ficam soltando graça pessoa saber mano vergonha gui descobrir agr,"['odeio', 'qnd', 'amigo', 'lembrar', 'esquema', 'ficar', 'soltando', 'Graça', 'pessoo', 'saber', 'mano', 'vergonha', 'gui', 'descobrir', 'agr']",0,0,1,0,0,0
kkkkkkkkkkkkkkkkkkkkkkkkkk vsf,"['Kkkkkkkkkkkkkkkkkkkkkkkkkk', 'vsf']",0,0,0,0,0,0
pensa casar sacana,"['pensar', 'casar', 'sacano']",0,0,1,0,0,0
legal agora mal corpo tbm novamente causa dessas fotos porra,"['legal', 'agora', 'mal', 'corpo', 'tbm', 'novamente', 'causa', 'de esse', 'foto', 'porra']",0,0,0,0,0,0
bicha decide logo frio demais pra sair pra nada,"['bichar', 'decidir', 'logo', 'frio', 'demais', 'pra', 'sair', 'pra', 'nada']",1,0,0,0,0,0
sim stalkeei todos tweets semana trata masculino nunca fez nenhum tweet falando sobre trans nada sobre assunto tbm tbm falando terceira vez muda nome faz tweet mentiroso levar,"['sim', 'stalkeei', 'todo', 'tweets', 'semana', 'tratar', 'masculino', 'nunca', 'fazer', 'nenhum', 'tweet', 'falar', 'sobre', 'trans', 'nada', 'sobre', 'assunto', 'tbm', 'tbm', 'falar', 'terceiro', 'vez', 'mudar', 'nome', 'fazer', 'tweet', 'mentiroso', 'levar']",1,0,0,0,0,0
primeiro iria segundose segundo avisava,"['primeiro', 'irio', 'segundose', 'segundo', 'avisar']",0,0,0,0,0,0
porra cabeça,"['porra', 'cabeça']",0,1,0,0,0,0
olavo carvalho diverge relação papo desgraçado sobre,"['olavo', 'carvalho', 'divergir', 'relação', 'papo', 'desgraçar', 'sobre']",0,1,0,0,0,0
assim governador rui costa paloma rocha filhas glauber rocha cancelou participação inauguração aeroporto obra leva nome cineasta folha,"['assim', 'governador', 'Rui', 'Costa', 'paloma', 'rochar', 'filha', 'glauber', 'rocha', 'cancelar', 'participação', 'inauguração', 'aeroporto', 'obra', 'levar', 'nome', 'cineasta', 'Folha']",0,0,0,0,0,0
bolado caralho,"['bolar', 'caralho']",0,1,0,0,0,0
antes tava bem melhor,"['antes', 'tar', 'bem', 'bom']",0,0,0,0,0,0
delicia dia pra nao gosta frio pau,"['deliciar', 'dia', 'pra', 'nao', 'gostar', 'frio', 'pau']",0,1,1,0,0,0
queria comer alguma coisa gostosa,"['querer', 'comer', 'algum', 'coisa', 'gostoso']",0,1,0,0,0,0
caramba fdppp,"['caramba', 'fdppp']",0,1,1,0,0,0
qualidade celular deve melhor uns,"['qualidade', 'celular', 'dever', 'bom', 'um']",0,0,0,0,0,0
vai ficar feio reforma previdência passar vez resto direita economia vai aliar vez centro esquerda derrubar governo,"['ir', 'ficar', 'feio', 'reforma', 'previdência', 'passar', 'vez', 'resto', 'direitar', 'economia', 'ir', 'aliar', 'vez', 'Centro', 'esquerdar', 'derrubar', 'governo']",0,0,0,0,0,0
stream hoje começou cedo sim incrivel pareça cola,"['stream', 'hoje', 'começar', 'cedo', 'sim', 'incrivel', 'parecer', 'colo']",0,0,0,0,0,0
chama amor pede carinho enforca gosto fuder escurinho faz baby,"['chamar', 'amor', 'pedir', 'carinho', 'enforca', 'gosto', 'fuder', 'escurinho', 'fazer', 'baby']",0,1,1,0,0,0
pqp passo raiva nesse livro,"['pqp', 'passo', 'raiva', 'em esse', 'livro']",0,1,0,0,0,0
merda nao bastante matarem boneca ano passado agora tiraram toda essencia vai fuder odiei vou jogar karma agora pra despedir url,"['merdar', 'nao', 'bastante', 'matar', 'boneca', 'ano', 'passado', 'agora', 'tirar', 'todo', 'essencia', 'ir', 'fuder', 'odiei', 'ir', 'jogar', 'karma', 'agora', 'pra', 'despedir', 'url']",0,1,1,0,0,0
professor olavo agradeço apoio palavras todo movimento começou senhor grande abraço,"['professor', 'olavo', 'agradeço', 'apoio', 'palavra', 'todo', 'movimento', 'começar', 'senhor', 'grande', 'abraço']",0,0,0,0,0,0
entendo gávea estádio quê podemos reformar ampliar pra umas mil pessoas ideal jogos pequenos carioca,"['enter', 'gávea', 'estádio', 'quê', 'poder', 'reformar', 'ampliar', 'pra', 'um', 'mil', 'pessoa', 'ideal', 'jogo', 'pequeno', 'carioca']",0,0,0,0,0,0
chocada pois conheci mulher médico marinha vivia viajando transava qualquer encanador jardineiro tipo deu sopa ninfomaníacas,"['chocar', 'pois', 'conheci', 'mulher', 'médico', 'marinha', 'viver', 'viajar', 'transar', 'qualquer', 'encanador', 'jardineiro', 'tipo', 'dar', 'sopa', 'ninfomaníaco']",0,0,0,0,1,0
canalha bloqueadadireita unida vida longa presidente,"['canalha', 'bloqueadadireito', 'uner', 'vida', 'longo', 'presidente']",0,0,1,0,0,0
fala bolsonaro,"['falar', 'bolsonaro']",0,0,0,0,0,0
dou bem gostoso pra pica gostosa,"['dar', 'bem', 'gostoso', 'pra', 'pica', 'gostoso']",0,1,0,0,0,0
kkkkkkkkkkkkk homem aberração,"['kkkkkkkkkkkkk', 'homem', 'aberração']",0,0,1,0,0,0
cento dois,"['cento', 'dois']",0,0,0,0,0,0
pqp lorenne,"['pqp', 'lorenne']",0,0,0,0,0,0
olho tandera crlh deixa livre porra kkkk,"['olho', 'tandera', 'Crlh', 'deixar', 'livre', 'porra', 'kkkk']",0,1,0,0,0,0
cassiane cassiane quanto vejos post sonho possibilidade conhecer afinal sonhar custa nada,"['cassiane', 'cassiane', 'quanto', 'vejo', 'post', 'sonho', 'possibilidade', 'conhecer', 'afinal', 'sonhar', 'custar', 'nada']",0,0,0,0,0,0
lembro nada sei queria fechar pau ontem kkkkkkkkkkk,"['lembro', 'nada', 'saber', 'querer', 'fechar', 'pau', 'ontem', 'kkkkkkkkkkk']",0,1,0,0,0,0
cara ferra cara engraçado,"['car', 'ferra', 'caro', 'engraçar']",0,0,0,0,0,0
zico falou alguma coisa sendo amigo desse lixo desse abel leandro falou alguma coisa então importante sempre flamengo fode,"['zico', 'falar', 'algum', 'coisa', 'ser', 'amigo', 'de esse', 'lixo', 'de esse', 'abel', 'leandro', 'falar', 'algum', 'coisa', 'então', 'importante', 'sempre', 'flamengo', 'foder']",0,1,1,0,0,0
sim caso app olhando projetos prioritariamente web,"['sim', 'caso', 'app', 'olhar', 'projeto', 'prioritariamente', 'web']",0,0,0,0,0,0
fome porra bicho,"['fome', 'porra', 'bicho']",0,0,0,0,0,0
camilly sumiu puta vagabunda arrombada mundrunga,"['camilly', 'sumir', 'puta', 'vagabunda', 'arrombar', 'mundrungo']",0,1,1,0,0,0
peguei spoiler morre vou adiar ver pois quero chorar hoje,"['peguei', 'spoiler', 'morrer', 'ir', 'adiar', 'ver', 'pois', 'querer', 'chorar', 'hoje']",0,0,0,0,0,0
olá vim aqui dizer miller rei adeus,"['olá', 'vir', 'aqui', 'dizer', 'miller', 'rei', 'adeus']",0,0,0,0,0,0
sentindo lixo hoje pqp,"['sentir', 'lixo', 'hoje', 'pqp']",0,0,0,0,0,0
pessoa pensando morte faz dias sentindo mal issoirmão pensando nisso faz uns anos hoje dia,"['pessoa', 'pensar', 'morte', 'fazer', 'dia', 'sentir', 'mal', 'issoirmão', 'pensar', 'em isso', 'fazer', 'um', 'ano', 'hoje', 'dia']",0,0,0,0,0,0
porra outros trabalha vem comer favor razão mbappé,"['porra', 'outro', 'trabalha', 'vir', 'comer', 'favor', 'razão', 'mbappé']",0,1,1,0,0,0
digo nada porque coisa branco ridículo,"['dizer', 'nada', 'porque', 'coisa', 'branco', 'ridículo']",0,0,0,1,0,0
puta merda apresentação linda piá sul mano pqp loko sempre proposta interessante outra elenco bem preparado chapéu,"['puta', 'merdo', 'apresentação', 'lindo', 'Piá', 'sul', 'mano', 'pqp', 'loko', 'sempre', 'propor', 'interessante', 'outro', 'elenco', 'bem', 'preparar', 'chapéu']",0,1,0,0,0,0
cornao,['cornaor'],0,0,0,0,1,0
vsf chupão chupa próprio pinto filha puta,"['vsf', 'chupão', 'chupa', 'próprio', 'pinto', 'filha', 'puto']",0,1,1,0,0,0
mano quero sair dar explicação cansei ter ouvindo piada tempo todo acabando chorar cansei amo familia toda vez alguma coisa agem assim comigo porque nao sei caralho,"['mano', 'querer', 'sair', 'dar', 'explicação', 'cansei', 'ter', 'ouvir', 'piar', 'tempo', 'todo', 'acabar', 'chorar', 'cansei', 'amo', 'familiar', 'toda', 'vez', 'algum', 'coisa', 'agem', 'assim', 'comigo', 'porque', 'nao', 'saber', 'caralho']",0,1,0,0,0,0
toda hora fdp fica ligando,"['todo', 'hora', 'fdp', 'ficar', 'ligar']",0,1,0,0,0,0
única vontade passa fuder resto passa tudo,"['único', 'vontade', 'passar', 'fuder', 'resto', 'passar', 'tudo']",0,1,0,0,0,0
migos puderem ajudar nessa rápida pesquisa ficaria bem happy serio perguntas obrigado,"['migo', 'puderem', 'ajudar', 'em esse', 'rápido', 'pesquisa', 'ficar', 'bem', 'happy', 'serio', 'pergunta', 'obrigar']",0,0,0,0,0,0
gordinha acima peso etc obesa mesma olha tamanho barriga caí,"['gordinhar', 'acima', 'peso', 'etc', 'obesa', 'mesmo', 'olhar', 'tamanho', 'barriga', 'caí']",0,0,1,0,0,0
vaisefude,['vaisefude'],0,1,1,0,0,0
quer carente ache outra coisa logo passa crentelha lixo evolua,"['querer', 'carente', 'achar', 'outro', 'coisa', 'logo', 'passar', 'crentelha', 'lixo', 'evolua']",0,1,1,0,0,0
acredito fiz print enviei pra mesma pessoa menino deve achando retardada agora,"['acreditar', 'fiz', 'print', 'enviei', 'pra', 'mesmo', 'pessoa', 'menino', 'dever', 'achar', 'retardar', 'agora']",0,1,0,0,0,0
porra tendeu lei vida nascer crescer namorar corno terminar ter recaídas perdoar voltar reproduzir feliz tentar menos kkkkkkkkkkkk,"['porra', 'tender', 'lei', 'vida', 'nascer', 'crescer', 'namorar', 'corno', 'terminar', 'ter', 'recaír', 'perdoar', 'voltar', 'reproduzir', 'feliz', 'tentar', 'menos', 'kkkkkkkkkkkk']",0,0,0,0,0,0
brasil nova direção tartaruga lider lula filhotes corrúptos perceberam,"['Brasil', 'novo', 'direção', 'tartarugar', 'lider', 'lula', 'filhote', 'corrúpto', 'perceber']",0,1,1,0,0,0
tristeza kkk bairro aqui poa toque kkk,"['tristeza', 'kkk', 'bairro', 'aqui', 'poa', 'toque', 'kkk']",0,0,0,0,0,0
